years_maddison,gdppc_maddison2016,years_broadberry,gdppc_broadberry,years_TED,gdppc_TED,years_q1,gdppc_q1,years_q2,gdppc_q2
,,,,,,298.00,987.0704729,1606,1966.87005
,,,,,,299.00,987.7003398,1607,1973.155986
,,,,,,300.00,988.3302067,1608,1998.718775
,,,,,,301.00,988.9600737,1609,2033.919993
,,,,,,302.00,989.5899406,1610,2057.073176
,,,,,,303.00,990.2198075,1611,2048.901471
,,,,,,304.00,990.8496744,1612,2038.320159
,,,,,,305.00,991.4795413,1613,2034.967667
,,,,,,306.00,992.1094082,1614,2046.072816
,,,,,,307.00,992.7392751,1615,2033.081898
,,,,,,308.00,993.369142,1616,2063.463901
,,,,,,309.00,993.999009,1617,2050.472982
,,,,,,310.00,994.6288759,1618,2025.43403
,,,,,,311.00,995.2587428,1619,2034.129572
,,,,,,312.00,995.8886097,1620,2057.282755
,,,,,,313.00,996.5184766,1621,2092.483972
,,,,,,314.00,997.1483435,1622,2081.902661
,,,,,,315.00,997.7782104,1623,2080.959776
,,,,,,316.00,998.4080773,1624,2089.655318
,,,,,,317.00,999.0379442,1625,2117.627715
,,,,,,318.00,999.6678112,1626,2104.636796
,,,,,,319.00,1000.297678,1627,2074.77863
,,,,,,320.00,1000.927545,1628,2044.920464
,,,,,,321.00,1001.557412,1629,2034.339152
,,,,,,322.00,1002.187279,1630,2083.99801
,,,,,,323.00,1002.817146,1631,2131.247261
,,,,,,324.00,1003.447013,1632,2180.906119
,,,,,,325.00,1004.07688,1633,2179.963234
,,,,,,326.00,1004.706746,1634,2195.887597
,,,,,,327.00,1005.336613,1635,2103.379654
,,,,,,328.00,1005.96648,1636,2124.12323
,,,,,,329.00,1006.596347,1637,2156.914841
,,,,,,330.00,1007.226214,1638,2196.935271
,,,,,,331.00,1007.856081,1639,2198.401993
,,,,,,332.00,1008.485948,1640,2219.14557
,,,,,,333.00,1009.115815,1641,2239.889146
,,,,,,334.00,1009.745682,1642,2183.525305
,,,,,,335.00,1010.375549,1643,2134.390285
,,,,,,336.00,1011.005416,1644,2138.266614
,,,,,,337.00,1011.635282,1645,2168.648617
,,,,,,338.00,1012.265149,1646,2179.753766
,,,,,,339.00,1012.895016,1647,2140.257173
,,,,,,340.00,1013.524883,1648,2105.579793
,,,,,,341.00,1014.15475,1649,2090.179268
,,,,,,342.00,1014.784617,1650,2084.417169
,,,,,,343.00,1015.414484,1651,2165.400915
,,,,,,344.00,1016.044351,1652,2174.096458
,,,,,,345.00,1016.674218,1653,2165.924753
,,,,,,346.00,1017.304085,1654,2177.029902
,,,,,,347.00,1017.933952,1655,2180.906231
,,,,,,348.00,1018.563819,1656,2158.276885
,,,,,,349.00,1019.193685,1657,2135.647539
,,,,,,350.00,1019.823552,1658,2129.885441
,,,,,,351.00,1020.453419,1659,2131.352163
,,,,,,352.00,1021.083286,1660,2147.276526
,,,,,,353.00,1021.713153,1661,2165.610495
,,,,,,354.00,1022.34302,1662,2174.306038
,,,,,,355.00,1022.972887,1663,2173.363153
,,,,,,356.00,1023.602754,1664,2172.420268
,,,,,,357.00,1024.232621,1665,2183.525417
,,,,,,358.00,1024.862488,1666,2209.088207
,,,,,,359.00,1025.492355,1667,2212.964536
,,,,,,360.00,1026.122221,1668,2204.792831
,,,,,,361.00,1026.752088,1669,2177.344272
,,,,,,362.00,1027.381955,1670,2166.76296
,,,,,,363.00,1028.011822,1671,2180.277716
,,,,,,364.00,1028.641689,1672,2188.973258
,,,,,,365.00,1029.271556,1673,2195.259194
,,,,,,366.00,1029.901423,1674,2189.497095
,,,,,,367.00,1030.53129,1675,2145.181288
,,,,,,368.00,1031.161157,1676,2153.876831
,,,,,,369.00,1031.791024,1677,2126.428271
,,,,,,370.00,1032.420891,1678,2127.894994
,,,,,,371.00,1033.050758,1679,2146.228963
,,,,,,372.00,1033.680624,1680,2150.105292
,,,,,,373.00,1034.310491,1681,2173.258475
,,,,,,374.00,1034.940358,1682,2184.363624
,,,,,,375.00,1035.570225,1683,2193.059167
,,,,,,376.00,1036.200092,1684,2168.020214
,,,,,,377.00,1036.829959,1685,2133.342834
,,,,,,378.00,1037.459826,1686,2156.496017
,,,,,,379.00,1038.089693,1687,2198.926055
,,,,,,380.00,1038.71956,1688,2193.163957
,,,,,,381.00,1039.349427,1689,2192.221072
,,,,,,382.00,1039.979294,1690,2145.495658
,,,,,,383.00,1040.60916,1691,2149.371987
,,,,,,384.00,1041.239027,1692,2170.115563
,,,,,,385.00,1041.868894,1693,2161.943858
,,,,,,386.00,1042.498761,1694,2134.495299
,,,,,,387.00,1043.128628,1695,2126.323594
,,,,,,388.00,1043.758495,1696,2130.199923
,,,,,,389.00,1044.388362,1697,2141.305072
,,,,,,390.00,1045.018229,1698,2166.867862
,,,,,,391.00,1045.648096,1699,2175.563404
,,,,,,392.00,1046.277963,1700,2201.126194
,,,,,,393.00,1046.90783,1701,2195.364096
,,,,,,394.00,1047.537696,1702,2192.011604
,,,,,,395.00,1048.167563,1703,2203.116753
,,,,,,396.00,1048.79743,1704,2209.402689
,,,,,,397.00,1049.427297,1705,2213.279018
,,,,,,398.00,1050.057164,1706,2205.107313
,,,,,,399.00,1050.687031,1707,2230.670103
,,,,,,400.00,1051.316898,1708,2229.727218
,,,,,,401.00,1051.946765,1709,2185.411411
,,,,,,402.00,1052.576632,1710,2235.070269
,,,,,,403.00,1053.206499,1711,2279.909913
,,,,,,404.00,1053.836366,1712,2291.015062
,,,,,,405.00,1054.466233,1713,2292.481784
,,,,,,406.00,1055.096099,1714,2305.99654
,,,,,,407.00,1055.725966,1715,2290.596015
,,,,,,408.00,1056.355833,1716,2289.65313
,,,,,,409.00,1056.9857,1717,2298.348672
,,,,,,410.00,1057.615567,1718,2292.586574
,,,,,,411.00,1058.245434,1719,2318.149364
,,,,,,412.00,1058.875301,1720,2365.398615
,,,,,,413.00,1059.505168,1721,2354.817303
,,,,,,414.00,1060.135035,1722,2349.055205
,,,,,,415.00,1060.764902,1723,2384.256422
,,,,,,416.00,1061.394769,1724,2407.409605
,,,,,,417.00,1062.024635,1725,2365.503405
,,,,,,418.00,1062.654502,1726,2347.693273
,,,,,,419.00,1063.284369,1727,2368.436849
,,,,,,420.00,1063.914236,1728,2374.722785
,,,,,,421.00,1064.544103,1729,2378.599113
,,,,,,422.00,1065.17397,1730,2363.198588
,,,,,,423.00,1065.803837,1731,2333.340422
,,,,,,424.00,1066.433704,1732,2344.445571
,,,,,,425.00,1067.063571,1733,2288.08173
,,,,,,426.00,1067.693438,1734,2258.223564
,,,,,,427.00,1068.323305,1735,2271.73832
,,,,,,428.00,1068.953171,1736,2292.481896
,,,,,,429.00,1069.583038,1737,2322.8639
,,,,,,430.00,1070.212905,1738,2331.559442
,,,,,,431.00,1070.842772,1739,2335.435771
,,,,,,432.00,1071.472639,1740,2312.806425
,,,,,,433.00,1072.102506,1741,2302.225113
,,,,,,434.00,1072.732373,1742,2325.378296
,,,,,,435.00,1073.36224,1743,2319.616198
,,,,,,436.00,1073.992107,1744,2323.492527
,,,,,,437.00,1074.621974,1745,2320.140035
,,,,,,438.00,1075.251841,1746,2290.281869
,,,,,,439.00,1075.881708,1747,2277.290951
,,,,,,440.00,1076.511574,1748,2285.986493
,,,,,,441.00,1077.141441,1749,2311.549283
,,,,,,442.00,1077.771308,1750,2305.787185
,,,,,,443.00,1078.401175,1751,2304.8443
,,,,,,444.00,1079.031042,1752,2325.587876
,,,,,,445.00,1079.660909,1753,2370.42752
,,,,,,446.00,1080.290776,1754,2371.894243
,,,,,,447.00,1080.920643,1755,2351.674503
,,,,,,448.00,1081.55051,1756,2341.093192
,,,,,,449.00,1082.180377,1757,2342.559914
,,,,,,450.00,1082.810244,1758,2351.255456
,,,,,,451.00,1083.44011,1759,2350.312571
,,,,,,452.00,1084.069977,1760,2368.646541
,,,,,,453.00,1084.699844,1761,2379.75169
,,,,,,454.00,1085.329711,1762,2386.037626
,,,,,,455.00,1085.959578,1763,2370.6371
